"","YEAR","PROJECT","SPECIES","index","param","season","cal.yr","gSSMU","matchme","survey","catch","sam","sam.sign","oni","oni.class"
"1","1981-82","COPA","ADPE",0.2914795364909,"FWT","S",1982,1,"1982|S|1",NA,0,0.468166666666667,"Pos",-0.025,"Neutral"
"2","1982-83","COPA","ADPE",1.69878875439261,"FWT","S",1983,1,"1983|S|1",NA,2,-0.955833333333333,"Neg",2.0175,"Warm"
"3","1987-88","COPA","ADPE",1.65733036130517,"FWT","S",1988,1,"1988|S|1",NA,0,0.251166666666667,"Pos",0.8775,"Warm"
"4","1988-89","COPA","ADPE",0.409308819841049,"FWT","S",1989,1,"1989|S|1",NA,0,0.21,"Pos",-1.61,"Cool"
"5","1989-90","COPA","ADPE",0.57889104509029,"FWT","S",1990,1,"1990|S|1",NA,1028,0.245833333333333,"Pos",-6.93889390390723e-18,"Neutral"
"6","1990-91","COPA","ADPE",-0.557329444118863,"FWT","S",1991,1,"1991|S|1",NA,0,0.00116666666666669,"Pos",0.3325,"Neutral"
"7","1991-92","COPA","ADPE",-0.549487128444821,"FWT","S",1992,1,"1992|S|1",NA,92,-1.01073333333333,"Neg",1.415,"Warm"
"8","1992-93","COPA","ADPE",-1.01969001813634,"FWT","S",1993,1,"1993|S|1",NA,0,-0.319,"Neg",0.0775,"Neutral"
"9","1993-94","COPA","ADPE",0.0178890281157147,"FWT","S",1994,1,"1994|S|1",NA,0,0.779666666666667,"Pos",0.115,"Neutral"
"10","1994-95","COPA","ADPE",-1.11458437298266,"FWT","S",1995,1,"1995|S|1",NA,0,0.231833333333333,"Pos",0.8925,"Warm"
"11","1995-96","COPA","ADPE",-0.590006070260335,"FWT","S",1996,1,"1996|S|1",1758076.65097431,0,0.317666666666667,"Pos",-0.88,"Cool"
"12","1996-97","COPA","ADPE",-0.190684284814996,"FWT","S",1997,1,"1997|S|1",913948.335436675,13,0.0164833333333333,"Pos",-0.46,"Neutral"
"13","1997-98","COPA","ADPE",0.468704971478657,"FWT","S",1998,1,"1998|S|1",1547602.76374548,0,-0.298666666666667,"Neg",2.105,"Warm"
"14","1998-99","COPA","ADPE",0.480387700316518,"FWT","S",1999,1,"1999|S|1",473419.83516923,127,0.715333333333333,"Pos",-1.355,"Cool"
"15","1999-00","COPA","ADPE",-0.648199361153212,"FWT","S",2000,1,"2000|S|1",1945391.05465637,231,1.059,"Pos",-1.48,"Cool"
"16","2000-01","COPA","ADPE",-0.392756286301664,"FWT","S",2001,1,"2001|S|1",484257.586975514,213,-0.629,"Neg",-0.71,"Cool"
"17","2001-02","COPA","ADPE",0.220871652956679,"FWT","S",2002,1,"2002|S|1",128904.197738154,57,0.667166666666667,"Pos",-0.2075,"Neutral"
"18","2002-03","COPA","ADPE",0.465847234201377,"FWT","S",2003,1,"2003|S|1",1329876.52915847,0,-0.617833333333333,"Neg",0.9775,"Warm"
"19","2003-04","COPA","ADPE",-0.862301915296569,"FWT","S",2004,1,"2004|S|1",47933.4288238174,3,-0.332983333333333,"Neg",0.305,"Neutral"
"20","2004-05","COPA","ADPE",0.339699347220089,"FWT","S",2005,1,"2005|S|1",364733.84998899,0,0.00191666666666668,"Pos",0.6525,"Warm"
"21","2005-06","COPA","ADPE",-0.635887813198492,"FWT","S",2006,1,"2006|S|1",977915.863336175,280,-0.310166666666667,"Neg",-0.59,"Cool"
"22","2006-07","COPA","ADPE",0.534797157170276,"FWT","S",2007,1,"2007|S|1",1552495.4558265,19,0.17335,"Pos",0.7225,"Warm"
"23","2007-08","COPA","ADPE",-1.59798652725421,"FWT","S",2008,1,"2008|S|1",2601639.51804375,0,0.5765,"Pos",-1.3,"Cool"
"24","2008-09","COPA","ADPE",0.0189494933895433,"FWT","S",2009,1,"2009|S|1",787974.606108325,11,0.890666666666667,"Pos",-0.645,"Cool"
"25","2009-10","COPA","ADPE",-2.20059112307462,"FWT","S",2010,1,"2010|S|1",227811.894421557,3613,-0.442033333333333,"Neg",1.23,"Warm"
"26","2010-11","COPA","ADPE",1.42229320444122,"FWT","S",2011,1,"2011|S|1",1145409.30877156,200,0.6469,"Pos",-1.27,"Cool"
"27","2011-12","COPA","ADPE",0.792423506635617,"FWT","S",2012,1,"2012|S|1",NA,1556,0.603666666666667,"Pos",-0.765,"Cool"
"28","2012-13","COPA","ADPE",-0.966464346169054,"FWT","S",2013,1,"2013|S|1",NA,2057,-0.125166666666667,"Neg",-0.2325,"Neutral"
"30","2014-15","COPA","ADPE",-0.417828942153515,"FWT","S",2015,1,"2015|S|1",NA,2291,0.571666666666667,"Pos",0.55,"Warm"
